date,air_quality_pm2_5,air_quality_pm10,air_quality_ozone,air_quality_nitrogen_dioxide,air_quality_sulphur_dioxide,air_quality_carbon_monoxide,air_quality_ammonia,air_quality_aerosol_optical_depth,air_quality_dust,air_quality_uv_index,day,hour,dayofweek,avg_pm
2025-10-23 19:00:00,41.4,49.4,100.0,10.9,13.5,393.0,,0.34,15.0,0.0,23,19,3,45.4
2025-10-23 19:00:00,46.6,54.2,85.0,16.2,14.7,467.0,,0.34,15.0,0.0,23,19,3,50.4
2025-10-23 19:00:00,50.6,58.9,74.0,19.7,15.7,533.0,,0.35,15.0,0.0,23,19,3,54.75
2025-10-23 19:00:00,53.3,62.2,69.0,20.3,16.3,588.0,,0.35,16.0,0.0,23,19,3,57.75
2025-10-23 19:00:00,55.3,65.0,68.0,19.2,16.6,635.0,,0.35,18.0,0.0,23,19,3,60.15
2025-10-23 19:00:00,55.9,66.1,67.0,17.8,16.3,659.0,,0.35,19.0,0.0,23,19,3,61.0
2025-10-23 19:00:00,54.7,65.7,65.0,16.5,15.1,643.0,,0.36,20.0,0.0,23,19,3,60.199997
2025-10-23 19:00:00,54.2,65.2,62.0,14.8,13.2,604.0,,0.36,20.0,0.0,23,19,3,59.699997
2025-10-23 19:00:00,54.6,65.7,59.0,13.6,11.6,584.0,,0.37,20.0,0.0,23,19,3,60.149998
2025-10-23 19:00:00,55.5,66.6,55.0,12.9,10.4,588.0,,0.38,20.0,0.0,23,19,3,61.05
2025-10-23 19:00:00,56.8,68.0,51.0,12.5,9.4,611.0,,0.4,21.0,0.0,23,19,3,62.4
2025-10-23 19:00:00,58.4,70.1,48.0,12.6,8.7,674.0,,0.41,21.0,0.0,23,19,3,64.25
2025-10-23 19:00:00,60.5,72.9,42.0,14.0,8.1,842.0,,0.41,20.0,0.0,23,19,3,66.7
2025-10-23 19:00:00,67.1,80.1,37.0,15.9,7.8,1051.0,,0.42,18.0,0.1,23,19,3,73.6
2025-10-23 19:00:00,68.5,78.0,44.0,16.1,8.0,1129.0,,0.41,18.0,0.75,23,19,3,73.25
2025-10-23 19:00:00,61.5,71.2,73.0,12.8,9.0,951.0,,0.41,22.0,2.05,23,19,3,66.35
2025-10-23 19:00:00,59.8,73.8,113.0,7.7,10.4,643.0,,0.4,27.0,3.75,23,19,3,66.8
2025-10-23 19:00:00,60.1,76.4,143.0,3.7,11.7,410.0,,0.41,31.0,5.2,23,19,3,68.25
2025-10-23 19:00:00,57.2,73.1,153.0,1.8,12.7,338.0,,0.42,31.0,5.75,23,19,3,65.15
2025-10-23 19:00:00,53.6,68.7,153.0,1.0,13.5,343.0,,0.42,29.0,5.2,23,19,3,61.149998
2025-10-23 19:00:00,51.5,65.4,149.0,1.6,13.9,374.0,,0.42,27.0,3.75,23,19,3,58.45
2025-10-23 19:00:00,49.8,62.6,142.0,3.2,13.4,434.0,,0.41,24.0,2.05,23,19,3,56.199997
2025-10-23 19:00:00,49.6,61.7,132.0,6.2,12.5,521.0,,0.39,20.0,0.75,23,19,3,55.65
2025-10-23 19:00:00,55.8,65.4,119.0,11.3,12.2,583.0,,0.37,18.0,0.1,23,19,3,60.6
2025-10-23 19:00:00,65.9,75.9,103.0,20.4,13.1,588.0,,0.35,18.0,0.0,23,19,3,70.9
2025-10-23 19:00:00,77.8,88.5,84.0,31.6,14.7,569.0,,0.33,20.0,0.0,23,19,3,83.15
2025-10-23 19:00:00,91.0,102.4,69.0,40.2,16.0,572.0,,0.32,21.0,0.0,23,19,3,96.7
2025-10-23 19:00:00,103.4,115.5,58.0,44.3,17.0,633.0,,0.32,21.0,0.0,23,19,3,109.45
2025-10-23 19:00:00,114.6,126.7,51.0,45.8,17.9,715.0,,0.33,21.0,0.0,23,19,3,120.649994
2025-10-23 19:00:00,121.5,132.7,46.0,45.0,18.1,761.0,,0.35,21.0,0.0,23,19,3,127.1
2025-10-23 19:00:00,119.0,129.5,44.0,41.0,17.2,729.0,,0.37,20.0,0.0,23,19,3,124.25
2025-10-23 19:00:00,112.2,122.0,45.0,34.8,15.8,660.0,,0.37,19.0,0.0,23,19,3,117.1
2025-10-23 19:00:00,109.2,119.0,46.0,29.6,14.7,617.0,,0.37,18.0,0.0,23,19,3,114.1
2025-10-23 19:00:00,109.7,120.1,47.0,26.6,14.6,615.0,,0.35,19.0,0.0,23,19,3,114.899994
2025-10-23 19:00:00,109.9,120.6,49.0,24.7,14.9,639.0,,0.34,20.0,0.0,23,19,3,115.25
2025-10-23 19:00:00,109.7,120.6,49.0,23.6,14.9,712.0,,0.33,20.0,0.0,23,19,3,115.149994
2025-10-23 19:00:00,109.4,120.1,43.0,24.2,14.2,905.0,,0.32,18.0,0.0,23,19,3,114.75
2025-10-23 19:00:00,114.1,123.4,36.0,25.6,13.1,1146.0,,0.33,14.0,0.1,23,19,3,118.75
2025-10-23 19:00:00,112.7,119.0,41.0,24.6,12.2,1250.0,,0.33,12.0,0.75,23,19,3,115.85
2025-10-23 19:00:00,90.3,95.7,71.0,18.8,11.6,1089.0,,0.32,11.0,2.05,23,19,3,93.0
2025-10-23 19:00:00,71.5,78.0,114.0,10.6,11.2,790.0,,0.32,12.0,3.8,23,19,3,74.75
2025-10-23 19:00:00,59.5,65.7,145.0,4.4,10.5,543.0,,0.31,12.0,5.25,23,19,3,62.6
